Store,Product,Size,Price,IsAvailableEver
Tesco,7000,S,2.5789584234671312,True
Lidl,7000,S,4.1655308314811155,True
Spar,7000,S,3.114233389202216,True
Aldi,7000,S,4.502680242051665,True
M&S,7000,S,3.881729781121898,False
Tesco,7001,S,4.502534993378363,True
Lidl,7001,S,5.418023701492648,True
Spar,7001,S,4.577135105170281,True
Aldi,7001,S,4.116612986761367,False
M&S,7001,S,5.153952223286956,True
Tesco,7002,S,1.444837973463918,True
Lidl,7002,S,1.3072467192742472,True
Spar,7002,S,1.144302943068292,False
Aldi,7002,S,0.9819663758798397,True
M&S,7002,S,1.1921722028782153,True
Tesco,7003,S,1.8297349907348432,False
Lidl,7003,S,2.3314905226796894,True
Spar,7003,S,2.1255758006571965,True
Aldi,7003,S,2.089973853892699,False
M&S,7003,S,2.5001486184944515,True
Tesco,7004,S,2.074827743421937,True
Lidl,7004,S,1.5272000070569773,True
Spar,7004,S,1.6874606777247054,True
Aldi,7004,S,1.813007747388874,True
M&S,7004,S,2.6819294165504743,True
Tesco,7005,S,2.022697192705713,True
Lidl,7005,S,2.078135919498613,True
Spar,7005,S,2.501201686815014,True
Aldi,7005,S,2.326785798911532,True
M&S,7005,S,2.8244894163839933,True
Tesco,7006,S,3.5420885689089157,True
Lidl,7006,S,4.261647428274093,True
Spar,7006,S,3.0128911942439225,True
Aldi,7006,S,2.7286849752748634,True
M&S,7006,S,4.168489963402852,True
Tesco,7007,S,1.6518218146237225,False
Lidl,7007,S,1.4751892473439774,True
Spar,7007,S,1.8110111154204451,True
Aldi,7007,S,1.6337036753878256,True
M&S,7007,S,2.1196465842301726,True
Tesco,7008,S,3.349010559937473,True
Lidl,7008,S,2.2834270281196125,False
Spar,7008,S,2.818110545621446,False
Aldi,7008,S,3.053025537457647,False
M&S,7008,S,2.027495594156968,True
Tesco,7009,S,4.0773464374548265,True
Lidl,7009,S,3.712121983297623,True
Spar,7009,S,4.039637881427126,False
Aldi,7009,S,5.318168745667664,True
M&S,7009,S,3.62080170951508,False
Tesco,7010,S,3.856590494688359,True
Lidl,7010,S,5.3278426959648995,True
Spar,7010,S,4.754791282969713,True
Aldi,7010,S,4.6116664017835705,True
M&S,7010,S,4.720957126156097,True
Tesco,7011,S,3.943909077342317,True
Lidl,7011,S,3.1783729437497126,True
Spar,7011,S,2.329552938612214,True
Aldi,7011,S,3.4511910369220047,False
M&S,7011,S,3.9930830490059464,True
Tesco,7012,S,1.6519065234425965,True
Lidl,7012,S,1.618651463565983,True
Spar,7012,S,2.02139364446344,False
Aldi,7012,S,1.3533413681580186,True
M&S,7012,S,1.4244897982253317,True
Tesco,7013,S,3.101031882229324,True
Lidl,7013,S,3.1247029512091706,True
Spar,7013,S,4.215675164354852,True
Aldi,7013,S,3.756095675166794,True
M&S,7013,S,3.4851093267242534,True
